,sLAnkleAngles,cLAnkleAngles,pLAnkleAngles,sLHipAngles,cLHipAngles,pLHipAngles,sLKneeAngles,cLKneeAngles,pLKneeAngles,sRAnkleAngles,cRAnkleAngles,pRAnkleAngles,sRHipAngles,cRHipAngles,pRHipAngles,sRKneeAngles,cRKneeAngles,pRKneeAngles
4664,0.4748899456897575,0.17399511414903235,-0.023133996255158218,-0.5864107106189094,0.2999648045283625,0.162146246083815,-0.594161777539274,0.00030123424312789027,0.011990234708396663,0.1985091808103261,-0.2428646727569873,0.018703552417792313,0.12673455348544205,0.44695850992333086,0.04408697444514309,-0.8425066505290524,-0.17154498273562024,-0.17815800391750192
4665,0.48855619110239035,0.18419556310907037,-0.03231997491319605,-0.6008237642573464,0.29979848654912966,0.1696102469036136,-0.5870790803170833,-0.0008352190069222942,0.01763212446607354,0.22469845424488732,-0.2865512392077396,0.056644247338035525,0.1310607496090046,0.4505956905845496,0.009033391301441318,-0.9025445504325517,-0.172780730514146,-0.1782808511524545
4666,0.5011616871498397,0.1959305247885894,-0.04290357941427769,-0.6153625926598224,0.2977725244179983,0.17810433945761917,-0.5780742812621968,-0.0019453142606986606,0.024097396626891143,0.24594230399809636,-0.3270291103634444,0.09162309762544929,0.136712810253107,0.45215886790958737,-0.021968053099355567,-0.9465600130170809,-0.16813334768443,-0.17529906058724587
4667,0.5129447271741658,0.20858671472935697,-0.05433464523986986,-0.6296891397677774,0.29272414546124303,0.1869303588429756,-0.5666413455398827,-0.0027376159457661586,0.03133435250352634,0.2566696731046558,-0.3646174367517806,0.12392180449092738,0.14315981715066384,0.45383422675816565,-0.045842784450295104,-0.9738957116973741,-0.16139496357880845,-0.17105951641801997
4668,0.524058771860223,0.22131579280854385,-0.06584631605737246,-0.6433276196635612,0.28357366476039725,0.19531934233683335,-0.5522154452524404,-0.0028600137515143453,0.039026151672104215,0.25069041972198525,-0.399031691136563,0.1533140882616948,0.14967693781496294,0.4579541163223255,-0.060209965599515525,-0.985378159105782,-0.15602188869836875,-0.16674419153734632
4669,0.5343491096394717,0.23316230366222568,-0.07657079750586271,-0.6557351277498173,0.26941817257999223,0.2026222665334554,-0.5342446199291225,-0.0019214808127693273,0.04650555417714153,0.22248907392767903,-0.4283387667710622,0.17819363522868303,0.15546698593610442,0.4665173378313905,-0.06375181148524078,-0.9829802351518883,-0.1542721222603527,-0.1623863366655538
4670,0.5431356009371735,0.24324718430232073,-0.08570715246596017,-0.6663654460320592,0.24960272598501732,0.20846837942117724,-0.512249271177707,0.00047840191126291565,0.0528004380583833,0.16941230319852107,-0.44836246223821263,0.19510575376805295,0.15981062961042536,0.4807961426132883,-0.05642547491617922,-0.969288810355472,-0.15680533387356022,-0.15670649501527878
4671,0.5490338586637327,0.251034458039074,-0.09276529067970696,-0.674725818626253,0.22377746454922431,0.21287656630193563,-0.4858590347528198,0.004714037776742286,0.05688452400438648,0.09411704912276098,-0.45320299299299993,0.19918305607816422,0.16220171563932007,0.5011488484641524,-0.03949990951822169,-0.9469543661037747,-0.16280360085711343,-0.14729669581663662
4672,0.5498404512073916,0.25652033457486323,-0.09773884046246972,-0.6804152797040008,0.19193194531571978,0.21630378750201773,-0.45484762332813333,0.01110598023997511,0.05797806070410205,0.005584990932875344,-0.4374054878403527,0.18586044182638362,0.16243607532254534,0.5270878690234966,-0.015403521747528237,-0.9182594780728324,-0.1704837360490934,-0.1312419334783511
4673,0.5424943524733794,0.2602898785293999,-0.10115686978494431,-0.6831448920804166,0.15440303556383883,0.2196184558325207,-0.41917576036477255,0.019925939165145623,0.05576533272775319,-0.08289039191358083,-0.39916860314519764,0.15343065697230007,0.16060883639048384,0.5575449773312988,0.012636135036241836,-0.8849296767714929,-0.17777877995916913,-0.1062590949741613
